date,lat,lon,name,wind_dir,wind_speed
2018-03-15 00:00:00,-29.917965,-71.237732,ceaza,256.8725280761719,1.7428796291351318
2018-03-15 00:00:00,-29.935963,-71.227356,cerrogrande,260.0345764160156,1.7257791757583618
2018-03-15 01:00:00,-29.917965,-71.237732,ceaza,283.6178283691406,2.6633553504943848
2018-03-15 01:00:00,-29.935963,-71.227356,cerrogrande,290.12445068359375,3.022968292236328
2018-03-15 02:00:00,-29.917965,-71.237732,ceaza,354.2093200683594,2.193164587020874
2018-03-15 02:00:00,-29.935963,-71.227356,cerrogrande,358.4469299316406,2.6132969856262207
2018-03-15 03:00:00,-29.917965,-71.237732,ceaza,18.53487777709961,1.667533278465271
2018-03-15 03:00:00,-29.935963,-71.227356,cerrogrande,23.25555992126465,2.542245864868164
2018-03-15 04:00:00,-29.917965,-71.237732,ceaza,51.784034729003906,1.328252911567688
2018-03-15 04:00:00,-29.935963,-71.227356,cerrogrande,34.33110046386719,2.2803866863250732
2018-03-15 05:00:00,-29.917965,-71.237732,ceaza,28.17522430419922,1.162367582321167
2018-03-15 05:00:00,-29.935963,-71.227356,cerrogrande,14.605167388916016,1.8800055980682373
2018-03-15 06:00:00,-29.917965,-71.237732,ceaza,46.345550537109375,1.4340866804122925
2018-03-15 06:00:00,-29.935963,-71.227356,cerrogrande,29.058134078979492,1.764398455619812
2018-03-15 07:00:00,-29.917965,-71.237732,ceaza,51.694271087646484,1.1250361204147339
2018-03-15 07:00:00,-29.935963,-71.227356,cerrogrande,26.785818099975586,1.7912209033966064
2018-03-15 08:00:00,-29.917965,-71.237732,ceaza,50.59193420410156,0.9446442723274231
2018-03-15 08:00:00,-29.935963,-71.227356,cerrogrande,18.712236404418945,2.0476269721984863
2018-03-15 09:00:00,-29.917965,-71.237732,ceaza,45.37804412841797,0.8083608746528625
2018-03-15 09:00:00,-29.935963,-71.227356,cerrogrande,20.00718879699707,1.8167610168457031
2018-03-15 10:00:00,-29.917965,-71.237732,ceaza,48.03998947143555,0.8284564018249512
2018-03-15 10:00:00,-29.935963,-71.227356,cerrogrande,25.72818374633789,1.703993797302246
2018-03-15 11:00:00,-29.917965,-71.237732,ceaza,57.71589279174805,1.0350300073623657
2018-03-15 11:00:00,-29.935963,-71.227356,cerrogrande,33.0926399230957,1.694860816001892
2018-03-15 12:00:00,-29.917965,-71.237732,ceaza,31.11380958557129,1.1285332441329956
2018-03-15 12:00:00,-29.935963,-71.227356,cerrogrande,22.070249557495117,1.5786056518554688
2018-03-15 13:00:00,-29.917965,-71.237732,ceaza,327.0100402832031,1.321976900100708
2018-03-15 13:00:00,-29.935963,-71.227356,cerrogrande,337.91357421875,1.5169036388397217
2018-03-15 14:00:00,-29.917965,-71.237732,ceaza,295.31573486328125,2.6578667163848877
2018-03-15 14:00:00,-29.935963,-71.227356,cerrogrande,290.1358642578125,2.7080814838409424
2018-03-15 15:00:00,-29.917965,-71.237732,ceaza,296.10223388671875,3.415283679962158
2018-03-15 15:00:00,-29.935963,-71.227356,cerrogrande,289.97991943359375,3.6151492595672607
2018-03-15 16:00:00,-29.917965,-71.237732,ceaza,297.3173828125,3.6521666049957275
2018-03-15 16:00:00,-29.935963,-71.227356,cerrogrande,294.74615478515625,3.9133949279785156
2018-03-15 17:00:00,-29.917965,-71.237732,ceaza,294.6205749511719,3.7814974784851074
2018-03-15 17:00:00,-29.935963,-71.227356,cerrogrande,295.7732849121094,4.016188144683838
2018-03-15 18:00:00,-29.917965,-71.237732,ceaza,286.31243896484375,4.060935020446777
2018-03-15 18:00:00,-29.935963,-71.227356,cerrogrande,292.4038391113281,4.214076519012451
2018-03-15 19:00:00,-29.917965,-71.237732,ceaza,281.1209411621094,4.301855564117432
2018-03-15 19:00:00,-29.935963,-71.227356,cerrogrande,291.9717712402344,4.3224287033081055
2018-03-15 20:00:00,-29.917965,-71.237732,ceaza,285.15203857421875,4.097439289093018
2018-03-15 20:00:00,-29.935963,-71.227356,cerrogrande,297.02899169921875,4.213740348815918
2018-03-15 21:00:00,-29.917965,-71.237732,ceaza,290.7054443359375,3.786165952682495
2018-03-15 21:00:00,-29.935963,-71.227356,cerrogrande,301.9313659667969,3.9363815784454346
2018-03-15 22:00:00,-29.917965,-71.237732,ceaza,298.8883361816406,3.2700345516204834
2018-03-15 22:00:00,-29.935963,-71.227356,cerrogrande,308.0444641113281,3.36228609085083
2018-03-15 23:00:00,-29.917965,-71.237732,ceaza,326.70806884765625,2.4358644485473633
2018-03-15 23:00:00,-29.935963,-71.227356,cerrogrande,333.4501953125,2.490389823913574
2018-03-16 00:00:00,-29.917965,-71.237732,ceaza,353.93280029296875,2.0564520359039307
2018-03-16 00:00:00,-29.935963,-71.227356,cerrogrande,4.8006792068481445,2.388201951980591
2018-03-16 01:00:00,-29.917965,-71.237732,ceaza,11.638995170593262,1.5673614740371704
2018-03-16 01:00:00,-29.935963,-71.227356,cerrogrande,13.215963363647461,2.3207356929779053
2018-03-16 02:00:00,-29.917965,-71.237732,ceaza,24.725950241088867,1.1876943111419678
2018-03-16 02:00:00,-29.935963,-71.227356,cerrogrande,19.570772171020508,1.9935981035232544
2018-03-16 03:00:00,-29.917965,-71.237732,ceaza,26.72214126586914,1.2996407747268677
2018-03-16 03:00:00,-29.935963,-71.227356,cerrogrande,15.622307777404785,2.1982619762420654
2018-03-16 04:00:00,-29.917965,-71.237732,ceaza,30.546993255615234,1.4399610757827759
2018-03-16 04:00:00,-29.935963,-71.227356,cerrogrande,16.78824806213379,2.2664425373077393
